,price,ret,feature1,feature2
2023-01-01 09:00:00,100.0,-0.021412612066011222,,-0.021412612066011222
2023-01-01 09:01:00,102.0453267950059,0.02024690893167172,-0.021412612066011222,-0.000582851567169751
2023-01-01 09:02:00,102.65528880958036,0.005959569961039841,0.02024690893167172,0.0015979556089001131
2023-01-01 09:03:00,99.63871268028704,-0.02982589427836184,0.005959569961039841,-0.0062580068629153746
2023-01-01 09:04:00,98.52189084459819,-0.011272005039370727,-0.02982589427836184,-0.007260806498206446
2023-01-01 09:05:00,101.86083269347733,0.03332873074194302,-0.011272005039370727,-0.0004958836248482012
2023-01-01 09:06:00,97.06432581407006,-0.04823358486786148,0.03332873074194302,-0.007315555230992955
2023-01-01 09:07:00,96.26411953340939,-0.008278252577123545,-0.04823358486786148,-0.007435892399259279
2023-01-01 09:08:00,98.76214504675977,0.025618725174110683,-0.008278252577123545,-0.0037631571133292835
2023-01-01 09:09:00,97.09399947256637,-0.017034808045302035,0.025618725174110683,-0.005090322206526558
2023-01-01 09:10:00,95.81333322020099,-0.013277723032441088,-0.017034808045302035,-0.005834631372518789
2023-01-01 09:11:00,95.66071126588226,-0.0015941793787378226,-0.013277723032441088,-0.005481260373037041
2023-01-01 09:12:00,98.58661147193878,0.03012779252248576,-0.0015941793787378226,-0.002742102457996826
2023-01-01 09:13:00,97.36408701393242,-0.01247803993369302,0.03012779252248576,-0.003437526563403697
2023-01-01 09:14:00,96.53231154596459,-0.00857963919292131,-0.01247803993369302,-0.003780334072038204
2023-01-01 09:15:00,95.72607826183479,-0.008387025512370347,-0.00857963919292131,-0.004068252287058963
2023-01-01 09:16:00,100.07394503863144,0.044418601654509116,-0.008387025512370347,-0.0012160844081431938
2023-01-01 09:17:00,104.57924243935878,0.044035721779475734,0.044418601654509116,0.0012979048245023023
2023-01-01 09:18:00,106.73254894848924,0.020381077957577546,0.044035721779475734,0.0023022823578220516
2023-01-01 09:19:00,107.59238682782367,0.00802372798349712,0.020381077957577546,0.0025883546391058053
2023-01-01 09:20:00,109.22361148783115,0.015047371517924844,0.00802372798349712,0.0031816411571448074
2023-01-01 09:21:00,112.56286920346506,0.030114640563015983,0.015047371517924844,0.004405868402866224
2023-01-01 09:22:00,110.50880770834183,-0.018416677368047824,0.030114640563015983,0.003413583804130831
2023-01-01 09:23:00,113.17234190388044,0.02381658089564207,-0.018416677368047824,0.004263708682943799
2023-01-01 09:24:00,110.40265617279697,-0.024777613354980247,0.02381658089564207,0.0031020558014268375
2023-01-01 09:25:00,109.03611559033094,-0.012455030049068207,-0.024777613354980247,0.002503706345638567
2023-01-01 09:26:00,111.06562767974864,0.018442103916006026,-0.012455030049068207,0.0030940173667632874
2023-01-01 09:27:00,107.96937833138337,-0.028273614004519377,0.018442103916006026,0.0019737448177889064
2023-01-01 09:28:00,107.69964398596878,-0.002501374403773322,-0.028273614004519377,0.0018194303618729675
2023-01-01 09:29:00,105.89109715197247,-0.01693509791719371,-0.002501374403773322,0.0011942794192374114
2023-01-01 09:30:00,105.38273237437464,-0.004812387410611938,-0.01693509791719371,0.0017476202410840543
2023-01-01 09:31:00,99.67620785341695,-0.05567178210921449,-0.004812387410611938,-0.0007830027936121526
2023-01-01 09:32:00,96.23531104685388,-0.03513066209019694,-0.05567178210921449,-0.0021526771953200453
2023-01-01 09:33:00,94.92611045921016,-0.013697544691958346,-0.03513066209019694,-0.0016150655424399289
2023-01-01 09:34:00,96.73236611921659,0.01884924863517165,-0.013697544691958346,-0.0006110237532885161
2023-01-01 09:35:00,96.4259483652044,-0.003172713655804316,0.01884924863517165,-0.0018277385665467607
2023-01-01 09:36:00,96.46037069511495,0.0003569183179362204,-0.003172713655804316,-0.00020805512702017076
2023-01-01 09:37:00,97.82661840593802,0.014064454222045698,0.0003569183179362204,0.0005367017662854707
2023-01-01 09:38:00,96.14966472107541,-0.017290726860181037,0.014064454222045698,-0.0008936133015242533
2023-01-01 09:39:00,96.72564137379914,0.00597254647614582,-0.017290726860181037,-0.00012670148414265813
